ID,Pair_Code,Disease_Pair,Severity,Climate,Prompt,Folder
35,C,Mosaic + Rust,Severe,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in severe stage under dry natural daylight in a real sugarcane farm field. Dried pustules  crispy leaf. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
36,C,Mosaic + Rust,Severe,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Rust co-occurring in severe stage under rainy natural daylight in a real sugarcane farm field. Soaked pustules  leaf collapse. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",C",C
37,D,Red Rot + Rust,Early,Natural light,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in early stage under natural daylight in a real sugarcane farm field. Small red lesions  tiny yellowish spots. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
38,D,Red Rot + Rust,Early,Humid,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in early stage under humid natural daylight in a real sugarcane farm field. Red lesions with dew  pustules forming. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
39,D,Red Rot + Rust,Early,Dry climate,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in early stage under dry natural daylight in a real sugarcane farm field. Cracked red lesions  dry spots. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
40,D,Red Rot + Rust,Early,Rainy conditions,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in early stage under rainy natural daylight in a real sugarcane farm field. Soaked red lesions  wet pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
41,D,Red Rot + Rust,Mid,Natural light,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in mid stage under natural daylight in a real sugarcane farm field. Spreading red lesions  orange pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
42,D,Red Rot + Rust,Mid,Humid,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in mid stage under humid natural daylight in a real sugarcane farm field. Wilting red areas  spore release. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
43,D,Red Rot + Rust,Mid,Dry climate,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in mid stage under dry natural daylight in a real sugarcane farm field. Cracked lesions  dry pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
44,D,Red Rot + Rust,Mid,Rainy conditions,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in mid stage under rainy natural daylight in a real sugarcane farm field. Waterlogged red lesions  wet pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
45,D,Red Rot + Rust,Severe,Natural light,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in severe stage under natural daylight in a real sugarcane farm field. Large red lesions  rupturing pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
46,D,Red Rot + Rust,Severe,Humid,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in severe stage under humid natural daylight in a real sugarcane farm field. Fungal overgrowth  wilting. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
47,D,Red Rot + Rust,Severe,Dry climate,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in severe stage under dry natural daylight in a real sugarcane farm field. Brittle red lesions  dried pustules. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
48,D,Red Rot + Rust,Severe,Rainy conditions,"""Randomly generate a square sugarcane leaf with Red Rot and Rust co-occurring in severe stage under rainy natural daylight in a real sugarcane farm field. Soaked collapse  fungal spread. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",D",D
